,predictions,file_names
0,calm,03-01-02-02-01-02-05.wav
1,sad,03-01-04-01-02-01-08.wav
2,angry,03-01-05-02-02-02-13.wav
3,angry,03-01-03-02-02-01-11.wav
4,happy,03-01-03-01-02-01-07.wav
5,happy,03-01-03-02-01-02-19.wav
6,fearful,03-01-04-02-02-02-16.wav
7,angry,03-01-05-02-02-01-16.wav
8,happy,03-01-03-02-02-02-08.wav
9,calm,03-01-02-01-01-01-03.wav
10,sad,03-01-04-01-02-02-06.wav
11,fearful,03-01-06-02-01-02-01.wav
12,angry,03-01-05-01-02-02-11.wav
13,fearful,03-01-06-02-02-02-19.wav
14,fearful,03-01-06-01-01-02-15.wav
15,sad,03-01-05-01-02-02-14.wav
16,calm,03-01-02-02-02-01-21.wav
17,calm,03-01-02-02-01-01-16.wav
18,calm,03-01-02-01-02-02-01.wav
19,angry,03-01-05-02-02-01-17.wav
20,angry,03-01-05-02-02-02-12.wav
21,calm,03-01-02-01-01-01-11.wav
22,happy,03-01-03-01-02-02-08.wav
23,fearful,03-01-06-01-02-01-03.wav
24,happy,03-01-03-01-02-02-18.wav
25,sad,03-01-04-01-01-01-15.wav
26,sad,03-01-04-02-02-01-08.wav
27,calm,03-01-02-01-01-02-22.wav
28,happy,03-01-03-02-01-02-23.wav
29,fearful,03-01-03-02-02-02-09.wav
30,happy,03-01-04-01-02-02-07.wav
31,happy,03-01-03-02-01-02-14.wav
32,sad,03-01-04-01-01-02-14.wav
33,fearful,03-01-06-01-02-01-06.wav
34,calm,03-01-02-02-01-02-01.wav
35,calm,03-01-05-01-02-02-08.wav
36,fearful,03-01-06-02-01-01-14.wav
37,happy,03-01-06-02-01-01-16.wav
38,angry,03-01-05-01-02-01-21.wav
39,happy,03-01-05-01-01-01-08.wav
40,fearful,03-01-03-02-02-02-03.wav
41,happy,03-01-03-01-02-02-24.wav
42,angry,03-01-06-02-02-01-20.wav
43,angry,03-01-05-02-02-02-22.wav
44,calm,03-01-02-01-02-01-18.wav
45,sad,03-01-05-01-01-01-22.wav
46,sad,03-01-04-01-02-01-10.wav
47,angry,03-01-05-02-02-02-14.wav
48,sad,03-01-06-01-01-01-14.wav
49,fearful,03-01-06-01-02-01-20.wav
50,happy,03-01-03-01-02-02-06.wav
51,angry,03-01-05-02-02-02-15.wav
52,angry,03-01-05-02-02-02-02.wav
53,sad,03-01-04-02-01-01-19.wav
54,fearful,03-01-04-02-01-01-08.wav
55,fearful,03-01-04-02-01-02-01.wav
56,sad,03-01-04-02-02-02-09.wav
57,happy,03-01-06-01-02-01-11.wav
58,happy,03-01-03-02-01-01-22.wav
59,calm,03-01-04-02-02-01-23.wav
60,happy,03-01-04-02-02-01-16.wav
61,fearful,03-01-05-02-01-02-06.wav
62,happy,03-01-05-02-01-01-02.wav
63,fearful,03-01-06-01-01-02-05.wav
64,happy,03-01-03-02-01-01-08.wav
65,calm,03-01-02-02-01-01-03.wav
66,sad,03-01-04-02-02-02-13.wav
67,angry,03-01-06-02-01-01-08.wav
68,fearful,03-01-06-01-02-02-14.wav
69,angry,03-01-05-02-02-01-02.wav
70,sad,03-01-05-01-01-01-14.wav
71,angry,03-01-05-01-02-02-01.wav
72,fearful,03-01-03-01-01-02-13.wav
73,calm,03-01-02-01-02-01-15.wav
74,happy,03-01-04-02-01-01-06.wav
75,calm,03-01-02-01-01-02-17.wav
76,happy,03-01-04-02-02-02-14.wav
77,sad,03-01-04-01-01-02-02.wav
78,fearful,03-01-06-01-02-02-21.wav
79,angry,03-01-05-02-02-01-13.wav
80,calm,03-01-02-01-02-01-08.wav
81,sad,03-01-06-01-01-01-11.wav
82,angry,03-01-06-02-02-01-06.wav
83,calm,03-01-02-01-02-02-20.wav
84,happy,03-01-02-01-01-01-17.wav
85,happy,03-01-06-02-01-01-03.wav
86,happy,03-01-03-02-01-02-13.wav
87,angry,03-01-05-01-02-02-02.wav
88,happy,03-01-06-01-01-02-02.wav
89,angry,03-01-05-01-02-01-22.wav
90,sad,03-01-04-02-01-01-01.wav
91,angry,03-01-05-01-02-01-16.wav
92,angry,03-01-05-02-01-02-07.wav
93,calm,03-01-02-01-01-02-16.wav
94,calm,03-01-02-01-01-01-19.wav
95,happy,03-01-03-01-02-01-12.wav
96,calm,03-01-02-02-01-01-08.wav
97,fearful,03-01-02-02-01-02-03.wav
98,sad,03-01-06-02-01-01-19.wav
99,sad,03-01-04-02-01-01-15.wav
100,angry,03-01-05-02-02-02-11.wav
101,calm,03-01-02-02-01-02-09.wav
102,calm,03-01-02-01-01-02-01.wav
103,sad,03-01-04-02-01-02-11.wav
104,calm,03-01-02-02-01-01-21.wav
105,sad,03-01-04-01-02-01-13.wav
106,angry,03-01-05-01-01-01-06.wav
107,sad,03-01-06-02-01-01-18.wav
108,angry,03-01-05-01-01-01-16.wav
109,happy,03-01-02-01-01-02-21.wav
110,calm,03-01-02-01-01-02-07.wav
111,sad,03-01-04-02-02-01-22.wav
112,happy,03-01-02-02-01-02-13.wav
113,fearful,03-01-05-02-02-01-11.wav
114,calm,03-01-02-02-02-02-22.wav
115,calm,03-01-02-01-02-01-13.wav
116,calm,03-01-02-02-02-01-05.wav
117,sad,03-01-03-01-01-01-22.wav
118,happy,03-01-03-01-01-02-22.wav
119,calm,03-01-04-01-02-02-20.wav
120,happy,03-01-06-01-02-01-12.wav
121,sad,03-01-04-01-01-01-10.wav
122,angry,03-01-05-02-01-01-13.wav
123,sad,03-01-04-01-01-02-22.wav
124,happy,03-01-06-01-01-02-04.wav
125,calm,03-01-02-01-02-02-06.wav
126,calm,03-01-02-01-01-01-18.wav
127,happy,03-01-06-02-02-01-14.wav
128,happy,03-01-03-01-01-01-19.wav
129,calm,03-01-02-01-02-01-07.wav
130,happy,03-01-05-01-01-02-13.wav
131,calm,03-01-02-01-02-01-21.wav
132,sad,03-01-04-01-01-02-01.wav
133,angry,03-01-05-02-01-02-02.wav
134,sad,03-01-04-02-02-02-05.wav
135,fearful,03-01-06-01-02-02-10.wav
136,fearful,03-01-03-02-01-02-11.wav
137,fearful,03-01-02-01-01-02-09.wav
138,angry,03-01-06-02-02-02-20.wav
139,happy,03-01-03-02-01-02-10.wav
140,sad,03-01-02-01-01-02-24.wav
141,happy,03-01-06-02-01-01-13.wav
142,happy,03-01-04-01-02-01-15.wav
143,fearful,03-01-06-02-02-02-21.wav
144,fearful,03-01-06-01-02-01-19.wav
145,angry,03-01-05-02-01-01-24.wav
146,calm,03-01-04-01-02-02-24.wav
147,fearful,03-01-06-02-01-02-12.wav
148,angry,03-01-05-02-01-02-23.wav
149,sad,03-01-05-01-01-01-15.wav
150,sad,03-01-04-02-01-01-17.wav
151,happy,03-01-04-02-01-02-03.wav
152,calm,03-01-02-02-01-02-24.wav
153,sad,03-01-06-01-02-01-23.wav
154,happy,03-01-03-02-01-01-12.wav
155,angry,03-01-05-01-02-02-04.wav
156,sad,03-01-04-02-01-01-16.wav
157,sad,03-01-04-01-01-02-03.wav
158,sad,03-01-04-01-01-02-07.wav
159,sad,03-01-04-02-02-01-17.wav
160,angry,03-01-05-02-02-01-23.wav
161,fearful,03-01-06-02-01-01-15.wav
162,sad,03-01-03-01-01-01-09.wav
163,happy,03-01-03-02-02-01-07.wav
164,fearful,03-01-03-02-02-02-24.wav
165,angry,03-01-05-02-02-02-21.wav
166,fearful,03-01-06-01-02-02-18.wav
167,calm,03-01-02-02-02-01-16.wav
168,happy,03-01-03-02-02-01-09.wav
169,sad,03-01-04-01-02-02-21.wav
170,angry,03-01-05-01-01-01-07.wav
171,angry,03-01-05-01-01-01-11.wav
172,sad,03-01-03-01-02-02-20.wav
173,calm,03-01-06-01-01-02-13.wav
174,angry,03-01-05-01-01-02-04.wav
175,sad,03-01-02-01-01-02-04.wav
176,calm,03-01-02-01-02-02-10.wav
177,angry,03-01-05-02-01-01-19.wav
178,happy,03-01-03-01-02-02-16.wav
179,happy,03-01-03-01-02-02-21.wav
180,fearful,03-01-06-02-02-02-02.wav
181,calm,03-01-04-01-02-02-09.wav
182,sad,03-01-04-01-02-01-06.wav
183,happy,03-01-03-02-02-02-10.wav
184,fearful,03-01-06-02-01-01-23.wav
185,calm,03-01-04-01-01-02-05.wav
186,happy,03-01-03-02-01-01-24.wav
187,calm,03-01-02-02-01-01-02.wav
188,angry,03-01-05-02-01-01-18.wav
189,angry,03-01-05-02-01-02-24.wav
190,fearful,03-01-03-02-01-01-17.wav
191,happy,03-01-03-02-01-01-13.wav
192,calm,03-01-02-02-01-02-22.wav
193,fearful,03-01-03-01-02-01-10.wav
194,angry,03-01-06-02-02-02-06.wav
195,happy,03-01-03-02-02-01-08.wav
196,sad,03-01-06-01-01-02-23.wav
197,fearful,03-01-06-02-02-01-19.wav
198,happy,03-01-05-01-01-02-05.wav
199,happy,03-01-02-02-02-02-03.wav
200,fearful,03-01-06-02-01-01-02.wav
201,angry,03-01-03-02-02-02-11.wav
202,happy,03-01-03-02-02-02-13.wav
203,sad,03-01-06-01-01-02-16.wav
204,happy,03-01-03-01-02-01-16.wav
205,calm,03-01-04-01-01-02-24.wav
206,happy,03-01-03-01-01-01-20.wav
207,happy,03-01-03-01-02-02-17.wav
208,calm,03-01-02-02-01-01-14.wav
209,fearful,03-01-04-02-01-02-14.wav
210,angry,03-01-05-02-02-02-06.wav
211,happy,03-01-03-02-02-01-16.wav
212,sad,03-01-06-01-02-01-18.wav
213,fearful,03-01-03-02-02-01-17.wav
214,calm,03-01-02-02-01-02-11.wav
215,sad,03-01-04-02-01-02-09.wav
216,angry,03-01-05-01-01-02-12.wav
217,fearful,03-01-06-02-01-02-13.wav
218,happy,03-01-03-01-01-01-08.wav
219,angry,03-01-05-01-02-01-11.wav
220,calm,03-01-04-01-01-01-14.wav
221,sad,03-01-04-01-02-02-23.wav
222,calm,03-01-02-01-01-02-02.wav
223,calm,03-01-02-02-01-01-04.wav
224,sad,03-01-04-02-01-01-23.wav
225,sad,03-01-02-01-01-01-05.wav
226,happy,03-01-03-02-01-02-24.wav
227,calm,03-01-02-01-01-02-18.wav
228,angry,03-01-05-01-02-02-18.wav
229,calm,03-01-02-02-01-01-11.wav
230,fearful,03-01-02-01-02-02-09.wav
231,sad,03-01-04-01-02-01-14.wav
232,angry,03-01-02-01-01-01-04.wav
233,happy,03-01-06-01-01-01-18.wav
234,fearful,03-01-05-02-02-01-15.wav
235,calm,03-01-02-02-02-01-09.wav
236,fearful,03-01-04-02-02-02-15.wav
237,fearful,03-01-06-02-01-02-22.wav
238,calm,03-01-02-02-02-01-03.wav
239,angry,03-01-05-02-01-02-21.wav
